order_date,Sales_QTY,Sales_amount,currency,User_id,Restaurant_id
10/10/2017,100,41241,INR,49226,567335
5/8/2018,3,-1,INR,77359,531342
4/6/2018,1,875,INR,5321,158203
4/11/2018,1,583,INR,21343,187912
6/18/2018,6,7176,INR,75378,543530
11/20/2017,59,500,INR,34323,158204
11/22/2017,36,250,INR,33246,156588
11/23/2017,39,21412,INR,87420,244866
11/27/2017,35,19213,INR,31017,156602
11/28/2017,310,170185,INR,72391,158193
11/29/2017,184,101194,INR,91457,407249
11/30/2017,35,19213,INR,33851,156590
11/29/2017,17,9426,INR,27008,338749
12/19/2017,1,218,INR,47798,156601
8/7/2018,5,3093,INR,58443,156587
12/4/2017,58,30306,INR,32969,158192
6/29/2018,38,52319,INR,29585,394554
7/2/2018,93,126296,INR,29210,158195
7/3/2018,79,107500,INR,44025,257181
7/4/2018,1,273,INR,81729,530909
7/6/2018,3,3574,INR,55846,573649
7/13/2018,1,273,INR,56648,573656
6/7/2019,20,23403,INR,7018,420675
7/29/2019,81,76329,INR,29312,427610
8/1/2019,5,4542,INR,68553,435582
9/19/2019,18,16579,INR,5753,382204
9/27/2019,90,105301,INR,80146,460692
10/9/2017,1,185,INR,41882,368328
10/13/2017,1,556,INR,572,530878
10/27/2017,1,551,INR,53990,171675
11/3/2017,1,167,INR,22718,475283
11/6/2017,1,333,INR,40886,421155
11/10/2017,1,500,INR,90799,545273
11/16/2017,1,333,INR,59075,440811
11/17/2017,1,333,INR,79488,420586
11/27/2017,1,500,INR,9738,448046
12/4/2017,1,833,INR,61303,187921
12/8/2017,1,167,INR,70795,551512
12/11/2017,1,833,INR,25283,351387
12/18/2017,1,1000,INR,38951,432675
12/27/2017,2,1833,INR,63358,302868
12/28/2017,1,167,INR,23510,567664
1/5/2018,1,167,INR,55123,440878
1/8/2018,1,833,INR,76741,161396
1/22/2018,1,167,INR,26983,382249
2/21/2018,26,10657,INR,56760,161408
2/23/2018,1,167,INR,86455,432684
8/3/2018,1,157,INR,7541,459776
8/24/2018,1,315,INR,8337,459775
9/21/2018,1,630,INR,19898,420637
9/28/2018,1,315,INR,69665,420479
11/9/2018,1,157,INR,33769,427606
11/16/2018,1,472,INR,3237,531363
12/7/2018,1,157,INR,80649,156592
12/14/2018,1,157,INR,64737,373319
1/25/2019,1,315,INR,49747,508318
2/1/2019,1,157,INR,1056,407243
2/8/2019,1,472,INR,30521,187915
2/15/2019,1,472,INR,76940,461724
2/22/2019,1,315,INR,90825,156542
3/1/2019,1,472,INR,41955,161405
3/8/2019,1,315,INR,33728,462070
3/15/2019,1,157,INR,12452,224008
3/22/2019,1,315,INR,40286,165533
3/29/2019,1,315,INR,53063,225827
4/5/2019,1,315,INR,64787,242943
4/12/2019,1,787,INR,60994,186286
4/23/2019,1,630,INR,39802,166613
4/29/2019,1,472,INR,22088,500628
5/6/2019,1,315,INR,22337,186289
5/10/2019,1,787,INR,6861,165532
5/17/2019,1,1102,INR,20697,169281
6/3/2019,1,787,INR,85734,408059
6/7/2019,1,157,INR,5550,529171
6/17/2019,1,315,INR,47992,517814
6/24/2019,1,315,INR,49789,167432
6/28/2019,1,315,INR,94710,166971
7/5/2019,1,472,INR,4533,516171
7/12/2019,1,630,INR,97525,226299
7/19/2019,1,944,INR,38862,374706
7/26/2019,2,1417,INR,94083,473193
8/2/2019,2,1417,INR,70963,167412
8/9/2019,1,787,INR,1256,503717
8/16/2019,1,1259,INR,86135,165530
9/2/2019,2,1574,INR,56042,255925
9/3/2019,1,630,INR,24835,225921
9/6/2019,1,157,INR,86873,549242
9/13/2019,2,1417,INR,43518,321587
9/20/2019,1,630,INR,4139,439487
9/23/2019,200,66111,INR,60230,397980
9/27/2019,2,1884,INR,17407,304302
